university,course_name,annual_fees,admission_mode,duration
Harvard University,MTech Computer Science,52011,Entrance Exam,2 years
Kyoto University,MSc Computer Science,19807,Merit Based,2 years
University of Tokyo,MSc Mathematics,16011,University Exam,2 years
Anna University,MSc Software Engineering,54368,GRE,1 year
Harvard University,MSc Cyber Security,36056,Entrance Exam,2 years
IIT Madras,MBA,46539,Interview + Test,1 year
Kyoto University,MSc Business Analytics,47525,GATE,2 years
University of Delhi,MSc Computer Science,49091,GRE,1 year
IIT Bombay,MSc Mechanical Engineering,30986,Interview + Test,1 year
University of Tokyo,MSc Physics,56155,GATE,1 year
Anna University,MSc Cyber Security,49958,University Exam,1 year
Anna University,MSc Chemistry,47018,GATE,1 year
Technical University of Munich,MSc Chemistry,57569,Merit Based,2 years
Harvard University,MSc Mathematics,10166,University Exam,2 years
IIT Bombay,MSc Mechanical Engineering,28073,Entrance Exam,2 years
University of Delhi,MTech Computer Science,32235,Interview + Test,1 year
University of Delhi,MSc Artificial Intelligence,41272,University Exam,2 years
Anna University,MSc Software Engineering,19959,GRE,1 year
IIT Delhi,MSc Electrical Engineering,23181,GATE,1 year
IIT Delhi,MSc Chemistry,58682,Interview + Test,2 years
University of Tokyo,MBA,16225,Merit Based,1 year
IIT Bombay,MSc Artificial Intelligence,20500,University Exam,2 years
IIT Delhi,MTech Computer Science,30726,University Exam,1 year
Kyoto University,MCA,43540,University Exam,2 years
Anna University,MSc Electrical Engineering,15519,GRE,2 years
Chulalongkorn University,MSc Business Analytics,19606,Interview + Test,1 year
Indian Institute of Science,MBA,55494,Merit Based,1 year
ETH Zurich,MSc Physics,37707,Merit Based,1 year
Indian Institute of Science,MSc Electrical Engineering,51662,GATE,1 year
IIT Bombay,MSc Civil Engineering,58849,Interview + Test,2 years
Vietnam National University Hanoi,MSc Business Analytics,55034,GRE,1 year
Chulalongkorn University,MSc Cyber Security,50570,Entrance Exam,2 years
ETH Zurich,MSc Electrical Engineering,10224,Interview + Test,2 years
IIT Bombay,MSc Artificial Intelligence,53639,Merit Based,2 years
Massachusetts Institute of Technology,MSc Business Analytics,26130,Merit Based,2 years
Vietnam National University Hanoi,MSc Biotechnology,31211,Merit Based,1 year
Chulalongkorn University,MCA,36066,GATE,2 years
Vietnam National University Hanoi,MSc Artificial Intelligence,37024,University Exam,1 year
Technical University of Munich,MSc Software Engineering,29412,GATE,1 year
University of Delhi,MSc Business Analytics,12993,GATE,1 year
IIT Delhi,MSc Civil Engineering,28021,Merit Based,1 year
Anna University,MSc Physics,45192,University Exam,2 years
Indian Institute of Science,MSc Mathematics,24101,GRE,2 years
National University of Singapore,MSc Biotechnology,57288,GRE,1 year
Nanyang Technological University,MSc Civil Engineering,30474,Entrance Exam,1 year
Kyoto University,MSc Biotechnology,36758,Entrance Exam,2 years
Chulalongkorn University,MCA,38832,Merit Based,1 year
ETH Zurich,MTech Computer Science,40135,Merit Based,1 year
Massachusetts Institute of Technology,MSc Business Analytics,34628,GRE,1 year
Nanyang Technological University,MSc Software Engineering,25501,University Exam,2 years
Indian Institute of Science,MSc Mechanical Engineering,9657,Interview + Test,2 years
University of Delhi,MSc Software Engineering,21420,GRE,2 years
University of Tokyo,MSc Biotechnology,20512,Merit Based,1 year
Mahidol University,MSc Mechanical Engineering,10092,Entrance Exam,2 years
ETH Zurich,MSc Cyber Security,11981,GATE,2 years
National University of Singapore,MSc Civil Engineering,36815,Interview + Test,1 year
University of Cambridge,MSc Mathematics,33183,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Civil Engineering,43165,GATE,1 year
Harvard University,MSc Cyber Security,53404,Interview + Test,2 years
Mahidol University,MSc Artificial Intelligence,54669,Entrance Exam,2 years
Kyoto University,MSc Machine Learning,45719,GRE,2 years
Chulalongkorn University,MTech Computer Science,36672,University Exam,1 year
Manipal Academy of Higher Education,MSc Mathematics,14763,Merit Based,1 year
Harvard University,MSc Artificial Intelligence,18855,Interview + Test,1 year
Vietnam National University Hanoi,MTech Computer Science,36075,Interview + Test,1 year
Mahidol University,MBA,22974,GRE,2 years
Chulalongkorn University,MSc Machine Learning,52071,GATE,1 year
IIT Delhi,MSc Electrical Engineering,8589,University Exam,1 year
Mahidol University,MSc Data Science,46060,University Exam,1 year
Technical University of Munich,MSc Artificial Intelligence,33922,GATE,2 years
Anna University,MBA,14339,Entrance Exam,1 year
National University of Singapore,MSc Civil Engineering,54574,Merit Based,1 year
IIT Delhi,MSc Civil Engineering,44684,University Exam,1 year
ETH Zurich,MSc Artificial Intelligence,10886,GATE,1 year
Mahidol University,MSc Biotechnology,26066,Entrance Exam,1 year
Indian Institute of Science,MSc Mechanical Engineering,10418,Interview + Test,1 year
University of Cambridge,MSc Cyber Security,12402,University Exam,2 years
IIT Delhi,MSc Data Science,45313,GRE,1 year
Indian Institute of Science,MSc Electrical Engineering,12336,University Exam,2 years
Stanford University,MSc Business Analytics,30427,Merit Based,2 years
Technical University of Munich,MSc Electrical Engineering,29123,Interview + Test,2 years
Indian Institute of Science,MSc Machine Learning,17275,Entrance Exam,2 years
Harvard University,MSc Computer Science,30602,GATE,1 year
Harvard University,MSc Mechanical Engineering,15138,Interview + Test,2 years
National University of Singapore,MSc Biotechnology,8719,Entrance Exam,1 year
Manipal Academy of Higher Education,MSc Electrical Engineering,59966,University Exam,1 year
Vietnam National University Hanoi,MBA,50894,Merit Based,2 years
University of Oxford,MSc Civil Engineering,22751,Merit Based,2 years
IIT Bombay,MSc Chemistry,30981,Interview + Test,1 year
Technical University of Munich,MSc Machine Learning,38654,GRE,2 years
Kyoto University,MSc Mechanical Engineering,35664,Merit Based,2 years
IIT Delhi,MSc Physics,48291,GRE,1 year
Anna University,MSc Chemistry,43182,Merit Based,1 year
University of Oxford,MSc Cyber Security,15892,Interview + Test,1 year
Indian Institute of Science,MSc Cyber Security,23952,University Exam,1 year
University of Cambridge,MSc Biotechnology,23739,Interview + Test,2 years
Nanyang Technological University,MSc Electrical Engineering,31269,Entrance Exam,2 years
Massachusetts Institute of Technology,MSc Computer Science,49598,University Exam,1 year
Indian Institute of Science,MSc Mechanical Engineering,27051,Merit Based,1 year
IIT Delhi,MSc Artificial Intelligence,27320,Merit Based,1 year
Stanford University,MSc Electrical Engineering,46991,University Exam,1 year
Chulalongkorn University,MSc Chemistry,53368,Interview + Test,1 year
Harvard University,MCA,36315,GATE,2 years
National University of Singapore,MSc Data Science,37598,GRE,2 years
University of Oxford,MSc Software Engineering,42688,GRE,1 year
Indian Institute of Science,MSc Cyber Security,25295,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Business Analytics,46799,GATE,1 year
Manipal Academy of Higher Education,MSc Software Engineering,38749,GRE,1 year
Stanford University,MSc Computer Science,13180,Interview + Test,1 year
Chulalongkorn University,MSc Business Analytics,12027,Merit Based,2 years
Massachusetts Institute of Technology,MSc Electrical Engineering,54730,GATE,1 year
Nanyang Technological University,MSc Chemistry,47251,Entrance Exam,1 year
University of Delhi,MSc Chemistry,48792,Entrance Exam,2 years
National University of Singapore,MSc Biotechnology,27062,University Exam,1 year
Stanford University,MSc Mechanical Engineering,33487,GATE,2 years
Chulalongkorn University,MSc Business Analytics,32896,Merit Based,2 years
IIT Delhi,MSc Biotechnology,58349,University Exam,1 year
Manipal Academy of Higher Education,MSc Artificial Intelligence,39596,Entrance Exam,1 year
Chulalongkorn University,MSc Data Science,27237,GATE,1 year
University of Delhi,MSc Civil Engineering,31148,Merit Based,1 year
Technical University of Munich,MSc Mechanical Engineering,27626,University Exam,2 years
Indian Institute of Science,MSc Mathematics,19784,Entrance Exam,2 years
University of Tokyo,MSc Computer Science,39239,GATE,1 year
University of Oxford,MSc Artificial Intelligence,24046,GATE,1 year
IIT Bombay,MSc Business Analytics,24260,GRE,1 year
Kyoto University,MSc Electrical Engineering,17489,GRE,2 years
Indian Institute of Science,MSc Data Science,21416,GRE,1 year
IIT Delhi,MSc Business Analytics,24050,GATE,2 years
Anna University,MSc Chemistry,50516,University Exam,2 years
University of Delhi,MSc Data Science,19998,GRE,1 year
ETH Zurich,MSc Computer Science,18822,Merit Based,2 years
University of Oxford,MBA,54080,GRE,2 years
University of Cambridge,MSc Data Science,19079,Entrance Exam,1 year
Massachusetts Institute of Technology,MSc Civil Engineering,32179,GRE,2 years
University of Oxford,MCA,31036,University Exam,1 year
Harvard University,MCA,52177,GRE,2 years
National University of Singapore,MSc Data Science,9123,Interview + Test,1 year
Harvard University,MSc Chemistry,14966,University Exam,1 year
Manipal Academy of Higher Education,MSc Artificial Intelligence,43038,University Exam,2 years
University of Delhi,MTech Computer Science,54840,GRE,2 years
National University of Singapore,MSc Cyber Security,58309,University Exam,2 years
IIT Delhi,MSc Data Science,15520,Merit Based,1 year
Mahidol University,MSc Civil Engineering,48305,Merit Based,2 years
IIT Delhi,MSc Chemistry,22754,Merit Based,2 years
Technical University of Munich,MSc Mechanical Engineering,46259,Merit Based,1 year
Indian Institute of Science,MSc Mechanical Engineering,51861,Entrance Exam,1 year
National University of Singapore,MSc Mathematics,55313,GATE,1 year
Mahidol University,MSc Machine Learning,59918,GATE,1 year
University of Tokyo,MSc Machine Learning,33653,University Exam,1 year
Stanford University,MSc Mathematics,34077,GATE,2 years
Indian Institute of Science,MSc Mechanical Engineering,48166,GRE,1 year
IIT Bombay,MSc Software Engineering,18877,Entrance Exam,1 year
Nanyang Technological University,MCA,23956,University Exam,2 years
University of Delhi,MSc Artificial Intelligence,24015,Interview + Test,1 year
Massachusetts Institute of Technology,MSc Physics,39980,Interview + Test,1 year
University of Oxford,MCA,34610,GATE,1 year
IIT Bombay,MCA,40800,University Exam,1 year
University of Oxford,MSc Business Analytics,9592,GRE,1 year
University of Tokyo,MSc Data Science,43118,Entrance Exam,1 year
Massachusetts Institute of Technology,MSc Electrical Engineering,23794,Entrance Exam,1 year
IIT Madras,MSc Business Analytics,42991,Interview + Test,1 year
Manipal Academy of Higher Education,MSc Data Science,42693,Merit Based,2 years
Manipal Academy of Higher Education,MSc Data Science,50375,Merit Based,1 year
University of Cambridge,MSc Biotechnology,50202,Merit Based,1 year
Indian Institute of Science,MSc Mechanical Engineering,33438,GRE,1 year
University of Oxford,MCA,37576,University Exam,1 year
ETH Zurich,MSc Physics,11412,GRE,1 year
National University of Singapore,MSc Artificial Intelligence,33967,GRE,1 year
IIT Bombay,MSc Software Engineering,55008,GRE,1 year
IIT Bombay,MTech Computer Science,19027,University Exam,1 year
Mahidol University,MSc Cyber Security,44344,Merit Based,2 years
University of Delhi,MBA,23229,Merit Based,2 years
Kyoto University,MSc Civil Engineering,48268,GATE,1 year
University of Delhi,MTech Computer Science,16211,Interview + Test,2 years
Technical University of Munich,MSc Computer Science,55289,Entrance Exam,1 year
Stanford University,MSc Physics,13587,Interview + Test,2 years
Manipal Academy of Higher Education,MSc Physics,34696,GRE,2 years
Mahidol University,MSc Mechanical Engineering,55011,Interview + Test,1 year
Technical University of Munich,MSc Machine Learning,27261,Merit Based,1 year
IIT Madras,MSc Mathematics,59997,Interview + Test,1 year
University of Tokyo,MSc Artificial Intelligence,25472,Entrance Exam,2 years
University of Delhi,MSc Mechanical Engineering,42269,Interview + Test,1 year
University of Delhi,MSc Software Engineering,16943,University Exam,1 year
University of Cambridge,MTech Computer Science,43816,Interview + Test,1 year
IIT Delhi,MSc Mechanical Engineering,22120,Merit Based,1 year
Mahidol University,MSc Data Science,53340,GATE,2 years
Technical University of Munich,MSc Data Science,39709,GATE,2 years
ETH Zurich,MSc Electrical Engineering,32172,Interview + Test,2 years
Nanyang Technological University,MSc Machine Learning,18165,GATE,1 year
Indian Institute of Science,MSc Machine Learning,20695,Entrance Exam,1 year
Mahidol University,MCA,16317,Merit Based,1 year
Kyoto University,MSc Mechanical Engineering,20655,Interview + Test,1 year
Nanyang Technological University,MSc Cyber Security,26468,Interview + Test,1 year
Vietnam National University Hanoi,MSc Software Engineering,49216,Interview + Test,1 year
Technical University of Munich,MSc Chemistry,38451,University Exam,2 years
Manipal Academy of Higher Education,MSc Machine Learning,9261,Interview + Test,1 year
IIT Delhi,MSc Business Analytics,10764,GATE,2 years
Manipal Academy of Higher Education,MSc Business Analytics,39553,Entrance Exam,2 years
Indian Institute of Science,MSc Civil Engineering,56746,Entrance Exam,1 year
Kyoto University,MSc Mechanical Engineering,14077,University Exam,2 years
Vietnam National University Hanoi,MSc Civil Engineering,32192,University Exam,2 years
Indian Institute of Science,MSc Mechanical Engineering,47687,Entrance Exam,2 years
Anna University,MSc Machine Learning,47677,Entrance Exam,2 years
Anna University,MSc Cyber Security,53128,GATE,2 years
University of Oxford,MCA,19107,Entrance Exam,2 years
IIT Bombay,MSc Biotechnology,37961,GATE,2 years
University of Tokyo,MBA,52838,GATE,2 years
University of Delhi,MBA,51109,GATE,2 years
IIT Delhi,MSc Business Analytics,19650,Interview + Test,1 year
Technical University of Munich,MSc Physics,48208,University Exam,1 year
Indian Institute of Science,MSc Civil Engineering,43245,Interview + Test,1 year
Anna University,MSc Civil Engineering,25972,Interview + Test,2 years
IIT Madras,MBA,13696,GRE,1 year
IIT Bombay,MSc Software Engineering,21368,Entrance Exam,2 years
Manipal Academy of Higher Education,MSc Electrical Engineering,59711,GATE,2 years
Nanyang Technological University,MBA,17473,Interview + Test,1 year
Stanford University,MSc Mechanical Engineering,39335,Entrance Exam,1 year
Harvard University,MSc Electrical Engineering,58576,Interview + Test,2 years
University of Tokyo,MSc Electrical Engineering,16300,Entrance Exam,2 years
IIT Madras,MBA,16992,Entrance Exam,2 years
University of Cambridge,MSc Physics,35902,Interview + Test,2 years
Nanyang Technological University,MBA,40446,Interview + Test,2 years
Kyoto University,MCA,28957,GRE,1 year
National University of Singapore,MSc Machine Learning,41895,Interview + Test,1 year
Mahidol University,MTech Computer Science,50320,University Exam,1 year
IIT Madras,MSc Machine Learning,45433,Interview + Test,1 year
National University of Singapore,MSc Physics,55623,University Exam,2 years
Mahidol University,MTech Computer Science,56454,Interview + Test,2 years
Manipal Academy of Higher Education,MSc Civil Engineering,28464,University Exam,1 year
Indian Institute of Science,MSc Computer Science,55080,Entrance Exam,1 year
IIT Delhi,MSc Machine Learning,47080,Entrance Exam,2 years
University of Tokyo,MCA,53805,GATE,2 years
IIT Madras,MSc Mechanical Engineering,36104,University Exam,1 year
IIT Delhi,MSc Machine Learning,26043,GRE,2 years
IIT Madras,MSc Artificial Intelligence,13034,GRE,1 year
Mahidol University,MCA,45592,GRE,2 years
Vietnam National University Hanoi,MCA,10885,GATE,2 years
Anna University,MSc Cyber Security,48238,Merit Based,1 year
Harvard University,MSc Data Science,23931,Interview + Test,1 year
University of Cambridge,MSc Machine Learning,57860,Entrance Exam,1 year
IIT Delhi,MSc Machine Learning,32178,Merit Based,1 year
Nanyang Technological University,MSc Machine Learning,26587,University Exam,2 years
University of Tokyo,MSc Data Science,50177,Entrance Exam,2 years
IIT Bombay,MCA,22757,Merit Based,2 years
Nanyang Technological University,MSc Electrical Engineering,47560,University Exam,1 year
Massachusetts Institute of Technology,MSc Business Analytics,53273,GATE,1 year
Indian Institute of Science,MSc Business Analytics,32638,Interview + Test,1 year
Stanford University,MSc Software Engineering,9253,GATE,1 year
University of Tokyo,MSc Machine Learning,33336,University Exam,2 years
University of Cambridge,MSc Electrical Engineering,26932,Merit Based,1 year
University of Cambridge,MSc Civil Engineering,32728,Interview + Test,1 year
IIT Bombay,MSc Electrical Engineering,57989,Merit Based,1 year
Indian Institute of Science,MSc Computer Science,55665,Merit Based,2 years
Kyoto University,MSc Mechanical Engineering,11955,GATE,2 years
National University of Singapore,MSc Biotechnology,34719,Merit Based,2 years
National University of Singapore,MSc Computer Science,34147,Entrance Exam,1 year
National University of Singapore,MSc Civil Engineering,26074,GRE,2 years
Manipal Academy of Higher Education,MSc Artificial Intelligence,50679,Entrance Exam,2 years
Technical University of Munich,MSc Biotechnology,9653,University Exam,1 year
IIT Delhi,MBA,30071,GRE,2 years
Technical University of Munich,MSc Mathematics,26072,University Exam,1 year
University of Delhi,MSc Chemistry,29500,GATE,2 years
University of Delhi,MSc Cyber Security,32773,Merit Based,2 years
Stanford University,MSc Machine Learning,33597,Merit Based,1 year
IIT Madras,MSc Business Analytics,21273,Merit Based,1 year
University of Oxford,MSc Software Engineering,28251,Merit Based,2 years
National University of Singapore,MSc Mathematics,58417,Merit Based,1 year
Massachusetts Institute of Technology,MSc Physics,57885,Merit Based,2 years
University of Cambridge,MSc Mechanical Engineering,27976,University Exam,1 year
Mahidol University,MSc Computer Science,29504,University Exam,1 year
IIT Delhi,MSc Data Science,48681,Merit Based,1 year
University of Tokyo,MSc Business Analytics,45349,Entrance Exam,2 years
Harvard University,MSc Civil Engineering,27443,University Exam,1 year
IIT Bombay,MSc Machine Learning,20589,Merit Based,2 years
Stanford University,MSc Artificial Intelligence,35635,Interview + Test,1 year
Kyoto University,MSc Business Analytics,22106,Interview + Test,1 year
Indian Institute of Science,MSc Electrical Engineering,29123,Entrance Exam,2 years
Indian Institute of Science,MSc Artificial Intelligence,42757,Entrance Exam,1 year
University of Cambridge,MSc Computer Science,24996,Interview + Test,1 year
Anna University,MSc Mathematics,37743,Interview + Test,2 years
Kyoto University,MSc Computer Science,32462,GRE,2 years
ETH Zurich,MSc Data Science,40955,GATE,1 year
University of Delhi,MSc Artificial Intelligence,36140,Entrance Exam,1 year
Anna University,MSc Mathematics,15348,Interview + Test,2 years
University of Tokyo,MTech Computer Science,39854,GRE,2 years
Mahidol University,MSc Artificial Intelligence,31941,Merit Based,1 year
