name,location,university_type,accreditation,ranking_score,actual_location
Chulalongkorn University,Thailand,Public,ONESQA,8.03,"Bangkok, Thailand"
Indian Institute of Technology Madras,India,Public,NAAC A++,9.86,"Chennai, Tamil Nadu, India"
Thammasat University,Thailand,Public,ONESQA,7.67,"Bangkok, Thailand"
Nanyang Technological University,Singapore,Public,AACSB,8.34,Singapore
University of California Los Angeles,USA,Public,WASC,7.82,"Los Angeles, California, USA"
University of Manchester,United Kingdom,Public,QAA,9.76,"Manchester, England, UK"
Imperial College London,United Kingdom,Public,QAA,8.54,"London, England, UK"
Jawaharlal Nehru University,India,Public,NAAC A++,6.54,"New Delhi, India"
Sorbonne University,France,Public,HCERES,6.6,"Paris, France"
Ton Duc Thang University,Vietnam,Public,MOET,8.01,"Ho Chi Minh City, Vietnam"
Jadavpur University,India,Public,NAAC A,7.34,"Kolkata, West Bengal, India"
National University of Singapore,Singapore,Public,AACSB,8.28,Singapore
Indian Institute of Technology Delhi,India,Public,NAAC A,8.56,"New Delhi, India"
Osaka University,Japan,Public,MEXT,6.59,"Osaka, Japan"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,7.42,"Leuven, Belgium"
Princeton University,USA,Private,MSCHE,7.15,"Princeton, New Jersey, USA"
Banaras Hindu University,India,Public,NAAC A,7.46,"Varanasi, Uttar Pradesh, India"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,6.87,"Munich, Germany"
Princeton University,USA,Private,MSCHE,6.67,"Princeton, New Jersey, USA"
Thammasat University,Thailand,Public,ONESQA,7.6,"Bangkok, Thailand"
Jawaharlal Nehru University,India,Public,NAAC A++,7.57,"New Delhi, India"
Columbia University,USA,Private,MSCHE,8.83,"New York City, New York, USA"
University of Michigan,USA,Public,HLC,7.88,"Ann Arbor, Michigan, USA"
Mahidol University,Thailand,Public,ONESQA,8.62,"Nakhon Pathom, Thailand"
National University of Singapore,Singapore,Public,AACSB,8.23,Singapore
Stanford University,USA,Private,WASC,8.2,"Stanford, California, USA"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.36,"Hanoi, Vietnam"
University of Tokyo,Japan,Public,MEXT,7.63,"Tokyo, Japan"
Banaras Hindu University,India,Public,NAAC A,7.88,"Varanasi, Uttar Pradesh, India"
University of Delhi,India,Public,NAAC A+,8.47,"New Delhi, India"
Delft University of Technology,Netherlands,Public,NVAO,9.39,"Delft, Netherlands"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,7.23,"Leuven, Belgium"
University of Cambridge,United Kingdom,Public,QAA,9.22,"Cambridge, England, UK"
Georgia Institute of Technology,USA,Public,SACSCOC,9.09,"Atlanta, Georgia, USA"
National University of Singapore,Singapore,Public,AACSB,9.42,Singapore
Indian Institute of Technology Madras,India,Public,NAAC A++,9.81,"Chennai, Tamil Nadu, India"
Ton Duc Thang University,Vietnam,Public,MOET,8.97,"Ho Chi Minh City, Vietnam"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,9.38,"Ho Chi Minh City, Vietnam"
Christ University,India,Private,NAAC A+,9.24,"Bengaluru, Karnataka, India"
Kyoto University,Japan,Public,MEXT,7.73,"Kyoto, Japan"
Chulalongkorn University,Thailand,Public,ONESQA,8.29,"Bangkok, Thailand"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.4,"Lausanne, Switzerland"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.35,"Kharagpur, West Bengal, India"
Jawaharlal Nehru University,India,Public,NAAC A++,6.53,"New Delhi, India"
Tohoku University,Japan,Public,MEXT,9.61,"Sendai, Japan"
Osaka University,Japan,Public,MEXT,7.07,"Osaka, Japan"
Singapore Management University,Singapore,Public,AACSB,8.47,Singapore
California Institute of Technology,USA,Private,WASC,9.72,"Pasadena, California, USA"
University of Manchester,United Kingdom,Public,QAA,8.59,"Manchester, England, UK"
Mahidol University,Thailand,Public,ONESQA,8.83,"Nakhon Pathom, Thailand"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,8.04,"Zurich, Switzerland"
Indian Institute of Science,India,Public,NAAC A++,7.3,"Bengaluru, Karnataka, India"
Nanyang Technological University,Singapore,Public,AACSB,8.43,Singapore
University of Edinburgh,United Kingdom,Public,QAA,7.75,"Edinburgh, Scotland, UK"
Massachusetts Institute of Technology,USA,Private,ABET,9.45,"Cambridge, Massachusetts, USA"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,9.29,"Karlsruhe, Germany"
Christ University,India,Private,NAAC A+,7.62,"Bengaluru, Karnataka, India"
Tohoku University,Japan,Public,MEXT,7.26,"Sendai, Japan"
Jadavpur University,India,Public,NAAC A,8.72,"Kolkata, West Bengal, India"
Imperial College London,United Kingdom,Public,QAA,8.27,"London, England, UK"
University of Michigan,USA,Public,HLC,8.51,"Ann Arbor, Michigan, USA"
University of Washington,USA,Public,NWCCU,6.8,"Seattle, Washington, USA"
Ludwig Maximilian University of Munich,Germany,Public,German Accreditation Council,8.04,"Munich, Germany"
Chulalongkorn University,Thailand,Public,ONESQA,8.58,"Bangkok, Thailand"
Nagoya University,Japan,Public,MEXT,7.72,"Nagoya, Japan"
Carnegie Mellon University,USA,Private,MSCHE,6.62,"Pittsburgh, Pennsylvania, USA"
King Mongkut's University of Technology Thonburi,Thailand,Public,ONESQA,9.44,"Bangkok, Thailand"
Anna University,India,Public,NAAC A+,8.8,"Chennai, Tamil Nadu, India"
Christ University,India,Private,NAAC A+,6.85,"Bengaluru, Karnataka, India"
Banaras Hindu University,India,Public,NAAC A,9.37,"Varanasi, Uttar Pradesh, India"
Technical University of Munich,Germany,Public,German Accreditation Council,6.66,"Munich, Germany"
Massachusetts Institute of Technology,USA,Private,ABET,9.65,"Cambridge, Massachusetts, USA"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.69,"Leuven, Belgium"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,6.6,"Leuven, Belgium"
Indian Institute of Technology Roorkee,India,Public,NAAC A,9.85,"Roorkee, Uttarakhand, India"
Kyoto University,Japan,Public,MEXT,9.44,"Kyoto, Japan"
Indian Institute of Technology Madras,India,Public,NAAC A++,8.57,"Chennai, Tamil Nadu, India"
University of Tokyo,Japan,Public,MEXT,9.19,"Tokyo, Japan"
Hanoi University of Science and Technology,Vietnam,Public,MOET,8.68,"Hanoi, Vietnam"
Nanyang Technological University,Singapore,Public,AACSB,7.85,Singapore
Yale University,USA,Private,NECHE,8.58,"New Haven, Connecticut, USA"
Singapore Management University,Singapore,Public,AACSB,9.06,Singapore
Hokkaido University,Japan,Public,MEXT,8.93,"Sapporo, Japan"
Sorbonne University,France,Public,HCERES,8.06,"Paris, France"
University of Delhi,India,Public,NAAC A+,9.15,"New Delhi, India"
University of Tokyo,Japan,Public,MEXT,9.73,"Tokyo, Japan"
Indian Institute of Technology Kanpur,India,Public,NAAC A,9.02,"Kanpur, Uttar Pradesh, India"
London School of Economics,United Kingdom,Public,QAA,9.76,"London, England, UK"
Tohoku University,Japan,Public,MEXT,8.84,"Sendai, Japan"
University College London,United Kingdom,Public,QAA,8.83,"London, England, UK"
Technical University of Munich,Germany,Public,German Accreditation Council,9.66,"Munich, Germany"
University of Michigan,USA,Public,HLC,6.63,"Ann Arbor, Michigan, USA"
University of Tokyo,Japan,Public,MEXT,9.73,"Tokyo, Japan"
Mahidol University,Thailand,Public,ONESQA,6.86,"Nakhon Pathom, Thailand"
Anna University,India,Public,NAAC A+,8.66,"Chennai, Tamil Nadu, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.54,"Lausanne, Switzerland"
Massachusetts Institute of Technology,USA,Private,ABET,6.96,"Cambridge, Massachusetts, USA"
Indian Institute of Science,India,Public,NAAC A++,9.29,"Bengaluru, Karnataka, India"
King's College London,United Kingdom,Public,QAA,9.0,"London, England, UK"
Indian Institute of Technology Delhi,India,Public,NAAC A,9.22,"New Delhi, India"
University of Chicago,USA,Private,HLC,9.79,"Chicago, Illinois, USA"
Singapore Management University,Singapore,Public,AACSB,9.0,Singapore
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.08,"Lausanne, Switzerland"
Imperial College London,United Kingdom,Public,QAA,6.64,"London, England, UK"
Kyushu University,Japan,Public,MEXT,8.95,"Fukuoka, Japan"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.03,"Lausanne, Switzerland"
Sorbonne University,France,Public,HCERES,9.77,"Paris, France"
Indian Institute of Technology Delhi,India,Public,NAAC A,9.82,"New Delhi, India"
University of Oxford,United Kingdom,Public,QAA,7.84,"Oxford, England, UK"
University of Amsterdam,Netherlands,Public,NVAO,6.56,"Amsterdam, Netherlands"
RWTH Aachen University,Germany,Public,German Accreditation Council,7.63,"Aachen, Germany"
Thammasat University,Thailand,Public,ONESQA,9.28,"Bangkok, Thailand"
Manipal Academy of Higher Education,India,Private,NAAC A++,7.31,"Manipal, Karnataka, India"
Indian Institute of Technology Kanpur,India,Public,NAAC A,8.54,"Kanpur, Uttar Pradesh, India"
Indian Institute of Technology Madras,India,Public,NAAC A++,8.71,"Chennai, Tamil Nadu, India"
University of Hyderabad,India,Public,NAAC A,8.25,"Hyderabad, Telangana, India"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.44,"Leuven, Belgium"
University of California Berkeley,USA,Public,WASC,9.71,"Berkeley, California, USA"
University of Delhi,India,Public,NAAC A+,7.29,"New Delhi, India"
University of Delhi,India,Public,NAAC A+,6.69,"New Delhi, India"
Kyoto University,Japan,Public,MEXT,8.65,"Kyoto, Japan"
King's College London,United Kingdom,Public,QAA,9.84,"London, England, UK"
Tohoku University,Japan,Public,MEXT,9.5,"Sendai, Japan"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,9.45,"Karlsruhe, Germany"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,9.7,"Lausanne, Switzerland"
University of Tokyo,Japan,Public,MEXT,7.5,"Tokyo, Japan"
University of Cambridge,United Kingdom,Public,QAA,6.86,"Cambridge, England, UK"
National University of Singapore,Singapore,Public,AACSB,8.92,Singapore
Jawaharlal Nehru University,India,Public,NAAC A++,8.02,"New Delhi, India"
Osaka University,Japan,Public,MEXT,8.38,"Osaka, Japan"
University of Washington,USA,Public,NWCCU,6.82,"Seattle, Washington, USA"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,9.76,"Zurich, Switzerland"
Banaras Hindu University,India,Public,NAAC A,9.76,"Varanasi, Uttar Pradesh, India"
Jawaharlal Nehru University,India,Public,NAAC A++,9.74,"New Delhi, India"
Jawaharlal Nehru University,India,Public,NAAC A++,8.38,"New Delhi, India"
University of Oxford,United Kingdom,Public,QAA,9.42,"Oxford, England, UK"
Ton Duc Thang University,Vietnam,Public,MOET,8.34,"Ho Chi Minh City, Vietnam"
Imperial College London,United Kingdom,Public,QAA,6.72,"London, England, UK"
Christ University,India,Private,NAAC A+,6.62,"Bengaluru, Karnataka, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,6.71,"Coimbatore, Tamil Nadu, India"
Stanford University,USA,Private,WASC,9.06,"Stanford, California, USA"
University of Tokyo,Japan,Public,MEXT,7.47,"Tokyo, Japan"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.89,"Kharagpur, West Bengal, India"
King's College London,United Kingdom,Public,QAA,9.03,"London, England, UK"
Indian Institute of Technology Bombay,India,Public,NAAC A,9.76,"Mumbai, Maharashtra, India"
Nanyang Technological University,Singapore,Public,AACSB,9.75,Singapore
Manipal Academy of Higher Education,India,Private,NAAC A++,8.62,"Manipal, Karnataka, India"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,6.68,"Zurich, Switzerland"
Vietnam National University Hanoi,Vietnam,Public,MOET,9.24,"Hanoi, Vietnam"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.87,"Coimbatore, Tamil Nadu, India"
Massachusetts Institute of Technology,USA,Private,ABET,7.65,"Cambridge, Massachusetts, USA"
Nagoya University,Japan,Public,MEXT,7.16,"Nagoya, Japan"
Hokkaido University,Japan,Public,MEXT,8.21,"Sapporo, Japan"
Harvard University,USA,Private,NECHE,8.8,"Cambridge, Massachusetts, USA"
King's College London,United Kingdom,Public,QAA,8.78,"London, England, UK"
University of California Berkeley,USA,Public,WASC,9.21,"Berkeley, California, USA"
University of Delhi,India,Public,NAAC A+,7.8,"New Delhi, India"
Heidelberg University,Germany,Public,German Accreditation Council,8.85,"Heidelberg, Germany"
University of Amsterdam,Netherlands,Public,NVAO,9.55,"Amsterdam, Netherlands"
University of Cambridge,United Kingdom,Public,QAA,7.55,"Cambridge, England, UK"
ETH Zurich,Switzerland,Public,Swiss Accreditation Council,9.43,"Zurich, Switzerland"
Harvard University,USA,Private,NECHE,7.1,"Cambridge, Massachusetts, USA"
Stanford University,USA,Private,WASC,7.78,"Stanford, California, USA"
Manipal Academy of Higher Education,India,Private,NAAC A++,6.97,"Manipal, Karnataka, India"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,9.84,"Kharagpur, West Bengal, India"
Nagoya University,Japan,Public,MEXT,9.3,"Nagoya, Japan"
University of Edinburgh,United Kingdom,Public,QAA,9.34,"Edinburgh, Scotland, UK"
Harvard University,USA,Private,NECHE,9.44,"Cambridge, Massachusetts, USA"
Princeton University,USA,Private,MSCHE,8.33,"Princeton, New Jersey, USA"
Indian Institute of Technology Bombay,India,Public,NAAC A,8.1,"Mumbai, Maharashtra, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,8.25,"Coimbatore, Tamil Nadu, India"
University College London,United Kingdom,Public,QAA,8.66,"London, England, UK"
Columbia University,USA,Private,MSCHE,8.53,"New York City, New York, USA"
Massachusetts Institute of Technology,USA,Private,ABET,9.01,"Cambridge, Massachusetts, USA"
University of Cambridge,United Kingdom,Public,QAA,7.78,"Cambridge, England, UK"
University of Copenhagen,Denmark,Public,Danish Accreditation,6.54,"Copenhagen, Denmark"
Harvard University,USA,Private,NECHE,8.27,"Cambridge, Massachusetts, USA"
University of California Berkeley,USA,Public,WASC,9.61,"Berkeley, California, USA"
Imperial College London,United Kingdom,Public,QAA,7.89,"London, England, UK"
National University of Singapore,Singapore,Public,AACSB,9.79,Singapore
Harvard University,USA,Private,NECHE,7.84,"Cambridge, Massachusetts, USA"
Vietnam National University Hanoi,Vietnam,Public,MOET,7.47,"Hanoi, Vietnam"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,9.49,"Ho Chi Minh City, Vietnam"
Stanford University,USA,Private,WASC,6.62,"Stanford, California, USA"
Christ University,India,Private,NAAC A+,8.33,"Bengaluru, Karnataka, India"
Indian Institute of Technology Kanpur,India,Public,NAAC A,8.28,"Kanpur, Uttar Pradesh, India"
Delft University of Technology,Netherlands,Public,NVAO,9.64,"Delft, Netherlands"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.89,"Coimbatore, Tamil Nadu, India"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,7.09,"Kharagpur, West Bengal, India"
Carnegie Mellon University,USA,Private,MSCHE,9.57,"Pittsburgh, Pennsylvania, USA"
Delft University of Technology,Netherlands,Public,NVAO,6.82,"Delft, Netherlands"
London School of Economics,United Kingdom,Public,QAA,6.72,"London, England, UK"
Indian Institute of Technology Kanpur,India,Public,NAAC A,6.91,"Kanpur, Uttar Pradesh, India"
Tokyo Institute of Technology,Japan,Public,MEXT,7.35,"Tokyo, Japan"
University of Delhi,India,Public,NAAC A+,6.64,"New Delhi, India"
Thammasat University,Thailand,Public,ONESQA,8.99,"Bangkok, Thailand"
University of Oxford,United Kingdom,Public,QAA,8.9,"Oxford, England, UK"
RWTH Aachen University,Germany,Public,German Accreditation Council,7.74,"Aachen, Germany"
Indian Institute of Technology Roorkee,India,Public,NAAC A,7.51,"Roorkee, Uttarakhand, India"
Jadavpur University,India,Public,NAAC A,7.0,"Kolkata, West Bengal, India"
Chulalongkorn University,Thailand,Public,ONESQA,8.57,"Bangkok, Thailand"
Indian Institute of Science,India,Public,NAAC A++,6.9,"Bengaluru, Karnataka, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.6,"Coimbatore, Tamil Nadu, India"
University of Bristol,United Kingdom,Public,QAA,8.5,"Bristol, England, UK"
University of Cambridge,United Kingdom,Public,QAA,6.93,"Cambridge, England, UK"
University of Hyderabad,India,Public,NAAC A,8.08,"Hyderabad, Telangana, India"
University of Michigan,USA,Public,HLC,8.58,"Ann Arbor, Michigan, USA"
Indian Institute of Technology Madras,India,Public,NAAC A++,9.23,"Chennai, Tamil Nadu, India"
Indian Institute of Technology Delhi,India,Public,NAAC A,8.21,"New Delhi, India"
Tokyo Institute of Technology,Japan,Public,MEXT,7.39,"Tokyo, Japan"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,7.5,"Karlsruhe, Germany"
University of Michigan,USA,Public,HLC,9.42,"Ann Arbor, Michigan, USA"
Kyoto University,Japan,Public,MEXT,8.65,"Kyoto, Japan"
University of Hyderabad,India,Public,NAAC A,9.27,"Hyderabad, Telangana, India"
University of Manchester,United Kingdom,Public,QAA,8.54,"Manchester, England, UK"
University of Tokyo,Japan,Public,MEXT,8.56,"Tokyo, Japan"
Tokyo Institute of Technology,Japan,Public,MEXT,7.67,"Tokyo, Japan"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,9.15,"Ho Chi Minh City, Vietnam"
Vietnam National University Ho Chi Minh City,Vietnam,Public,MOET,7.47,"Ho Chi Minh City, Vietnam"
Banaras Hindu University,India,Public,NAAC A,7.24,"Varanasi, Uttar Pradesh, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,8.96,"Lausanne, Switzerland"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.42,"Coimbatore, Tamil Nadu, India"
Georgia Institute of Technology,USA,Public,SACSCOC,8.96,"Atlanta, Georgia, USA"
Indian Institute of Technology Bombay,India,Public,NAAC A,6.71,"Mumbai, Maharashtra, India"
Tohoku University,Japan,Public,MEXT,8.61,"Sendai, Japan"
University of Hyderabad,India,Public,NAAC A,7.91,"Hyderabad, Telangana, India"
University of California Berkeley,USA,Public,WASC,6.52,"Berkeley, California, USA"
Karlsruhe Institute of Technology,Germany,Public,German Accreditation Council,8.26,"Karlsruhe, Germany"
Hokkaido University,Japan,Public,MEXT,8.64,"Sapporo, Japan"
Kyushu University,Japan,Public,MEXT,9.14,"Fukuoka, Japan"
Indian Institute of Technology Roorkee,India,Public,NAAC A,7.73,"Roorkee, Uttarakhand, India"
Amrita Vishwa Vidyapeetham,India,Private,NAAC A++,9.83,"Coimbatore, Tamil Nadu, India"
University of Oxford,United Kingdom,Public,QAA,7.58,"Oxford, England, UK"
Thammasat University,Thailand,Public,ONESQA,9.08,"Bangkok, Thailand"
Indian Institute of Technology Bombay,India,Public,NAAC A,9.24,"Mumbai, Maharashtra, India"
Delft University of Technology,Netherlands,Public,NVAO,7.72,"Delft, Netherlands"
Indian Institute of Technology Madras,India,Public,NAAC A++,6.93,"Chennai, Tamil Nadu, India"
Indian Institute of Science,India,Public,NAAC A++,8.88,"Bengaluru, Karnataka, India"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,6.93,"Lausanne, Switzerland"
University of Bristol,United Kingdom,Public,QAA,8.58,"Bristol, England, UK"
Indian Institute of Science,India,Public,NAAC A++,9.65,"Bengaluru, Karnataka, India"
University of Amsterdam,Netherlands,Public,NVAO,8.07,"Amsterdam, Netherlands"
Jadavpur University,India,Public,NAAC A,9.13,"Kolkata, West Bengal, India"
Indian Institute of Technology Kharagpur,India,Public,NAAC A,6.68,"Kharagpur, West Bengal, India"
University of Delhi,India,Public,NAAC A+,8.57,"New Delhi, India"
Kyoto University,Japan,Public,MEXT,8.77,"Kyoto, Japan"
University of Bristol,United Kingdom,Public,QAA,7.1,"Bristol, England, UK"
University of Warwick,United Kingdom,Public,QAA,6.88,"Coventry, England, UK"
Nanyang Technological University,Singapore,Public,AACSB,8.27,Singapore
Anna University,India,Public,NAAC A+,9.31,"Chennai, Tamil Nadu, India"
Sorbonne University,France,Public,HCERES,8.37,"Paris, France"
Indian Institute of Science,India,Public,NAAC A++,7.73,"Bengaluru, Karnataka, India"
Carnegie Mellon University,USA,Private,MSCHE,9.24,"Pittsburgh, Pennsylvania, USA"
Georgia Institute of Technology,USA,Public,SACSCOC,6.75,"Atlanta, Georgia, USA"
University College London,United Kingdom,Public,QAA,8.78,"London, England, UK"
EPFL Lausanne,Switzerland,Public,Swiss Accreditation Council,7.77,"Lausanne, Switzerland"
University of Cambridge,United Kingdom,Public,QAA,7.36,"Cambridge, England, UK"
National University of Singapore,Singapore,Public,AACSB,9.35,Singapore
Ton Duc Thang University,Vietnam,Public,MOET,8.86,"Ho Chi Minh City, Vietnam"
Vietnam National University Hanoi,Vietnam,Public,MOET,6.8,"Hanoi, Vietnam"
University College London,United Kingdom,Public,QAA,7.88,"London, England, UK"
Banaras Hindu University,India,Public,NAAC A,8.84,"Varanasi, Uttar Pradesh, India"
Kyushu University,Japan,Public,MEXT,9.86,"Fukuoka, Japan"
University of Edinburgh,United Kingdom,Public,QAA,8.51,"Edinburgh, Scotland, UK"
Ton Duc Thang University,Vietnam,Public,MOET,7.35,"Ho Chi Minh City, Vietnam"
Columbia University,USA,Private,MSCHE,7.17,"New York City, New York, USA"
Carnegie Mellon University,USA,Private,MSCHE,8.23,"Pittsburgh, Pennsylvania, USA"
National University of Singapore,Singapore,Public,AACSB,8.92,Singapore
Thammasat University,Thailand,Public,ONESQA,7.12,"Bangkok, Thailand"
Jawaharlal Nehru University,India,Public,NAAC A++,7.87,"New Delhi, India"
University of Warwick,United Kingdom,Public,QAA,9.41,"Coventry, England, UK"
KU Leuven,Belgium,Public,Flemish Accreditation Organisation,9.48,"Leuven, Belgium"
Carnegie Mellon University,USA,Private,MSCHE,8.2,"Pittsburgh, Pennsylvania, USA"
Heidelberg University,Germany,Public,German Accreditation Council,9.48,"Heidelberg, Germany"
Stanford University,USA,Private,WASC,9.41,"Stanford, California, USA"
